year,month,day,hour,minute,second,RMS,longitude,latitude,depth,magnitude
1975,1,28,2,21,0.0,1.0,-83.57,10.68,11.0,4.1
1975,1,28,2,25,0.0,1.0,-84.38,10.09,20.0,4.1
1975,2,2,21,36,0.0,1.0,-82.47,7.47,10.0,4.1
1975,2,3,6,5,0.0,1.0,-82.35,7.58,10.0,5.3
1975,4,16,4,46,0.0,1.0,-85.77,10.51,80.0,5.9
1975,5,20,14,7,0.0,1.0,-83.26,8.74,59.0,4.7
1975,6,18,18,33,0.0,1.0,-85.2,10.88,160.0,4.9
1975,7,13,17,10,0.0,1.0,-86.04,11.02,43.0,4.7
1975,7,15,15,53,0.0,1.0,-82.88,7.73,10.0,5.5
1975,8,31,12,18,0.0,1.0,-82.3,7.2,10.0,5.3
1975,9,1,21,50,0.0,1.0,-83.14,8.68,14.0,5.6
1975,9,7,23,46,0.0,1.0,-82.71,8.25,36.0,5.3
1975,10,5,17,21,0.0,0.5,-84.333,9.266,20.0,4.0
1975,10,19,23,1,0.0,1.0,-82.85,7.71,10.0,4.8
1975,11,20,11,9,0.0,1.0,-84.59,9.32,34.0,4.1
1975,12,1,6,24,0.0,1.0,-85.19,10.43,15.0,4.2
1976,1,7,6,22,0.0,1.0,-83.79,9.41,46.0,4.6
1976,2,4,9,3,0.0,1.0,-85.46,10.71,36.0,6.1
1976,2,8,8,15,0.0,1.0,-85.26,10.24,15.0,5.4
1976,4,7,15,23,0.0,1.0,-83.99,9.54,88.0,4.2
1976,4,19,11,15,0.0,1.0,-84.11,9.5,54.0,5.7
1976,5,4,8,44,0.0,1.0,-85.54,10.85,36.0,4.7
1976,5,12,16,20,0.0,1.0,-85.42,10.44,15.0,5.9
1976,7,8,10,36,0.0,1.0,-86.27,10.71,3.0,4.8
1976,7,11,22,4,0.0,1.0,-83.96,9.92,29.0,4.0
1976,8,17,16,55,0.0,1.0,-85.55,10.28,24.0,4.2
1976,8,17,22,56,0.0,1.0,-83.08,8.37,56.0,5.0
1976,9,16,5,36,0.0,1.0,-82.83,7.76,10.0,4.9
1976,9,19,12,23,0.0,1.0,-82.27,7.31,3.0,5.3
1976,10,4,19,47,0.0,1.0,-83.11,7.52,33.0,4.9
1976,10,9,12,31,0.0,1.0,-85.76,10.84,85.0,5.8
1976,11,11,3,17,0.0,1.0,-84.22,9.9,5.0,3.6
1976,11,25,6,22,0.0,0.6,-84.957,9.188,20.0,1.7
1976,12,1,14,15,0.0,1.0,-84.84,9.42,15.0,5.8
1976,12,14,22,35,0.0,1.0,-84.07,10.65,100.0,4.2
1977,3,28,11,16,0.0,0.0,-84.533,10.276,26.8,1.7
1977,4,1,16,15,0.0,0.0,-84.451,9.516,3.4,4.5
1977,4,2,11,21,0.0,0.0,-84.465,9.669,1.0,2.8
1977,6,22,21,45,0.0,0.4,-84.473,9.982,64.8,2.7
1977,8,7,7,0,0.0,0.0,-85.0,9.0,15.0,5.4
1977,8,11,11,41,0.0,0.0,-84.005,9.791,57.0,3.8
1977,9,13,18,32,0.0,0.9,-84.607,9.591,1.0,3.9
1977,9,15,20,19,0.0,0.4,-84.241,8.824,20.0,3.5
1977,10,2,23,43,0.0,0.0,-84.487,9.627,30.0,4.4
1977,10,7,3,32,0.0,0.1,-84.165,9.268,34.7,2.5
1977,11,2,13,37,0.0,0.9,-84.955,9.247,20.0,3.3
1977,11,3,7,19,0.0,0.6,-84.08,9.534,5.9,3.0
1977,12,1,19,36,0.0,0.4,-83.897,9.35,57.1,3.5
1977,12,2,19,45,0.0,0.5,-84.707,9.483,12.8,2.4
1978,1,5,0,20,0.0,0.0,-84.139,9.307,21.5,4.4
1978,1,11,1,13,0.0,0.6,-84.211,9.37,20.0,2.7
