year,month,day,hour,minute,second,RMS,longitude,latitude,depth,magnitude
1975,1,28,2,21,0,1,-83.57,10.68,11,4.1
1975,1,28,2,25,0,1,-84.38,10.09,20,4.1
1975,2,2,21,36,0,1,-82.47,7.47,10,4.1
1975,2,3,6,5,0,1,-82.35,7.58,10,5.3
1975,2,12,22,35,0,1,-85.95,9.66,54,4.3
1975,4,16,4,46,0,1,-85.77,10.51,80,5.9
1975,5,20,14,7,0,1,-83.26,8.74,59,4.7
1975,6,18,18,33,0,1,-85.2,10.88,160,4.9
1975,7,13,17,10,0,1,-86.04,11.02,43,4.7
1975,7,15,15,53,0,1,-82.88,7.73,10,5.5
1975,7,15,15,54,0,1,-84.84,9.93,53,4.2
1975,7,17,5,14,0,1,-86.5,10.53,15,5.4
1975,7,19,17,12,0,1,-82.86,8.56,57,4.7
1975,7,19,17,24,0,1,-82.96,8.37,48,4.9
1975,7,19,23,48,0,1,-82.92,8.38,42,4.9
1975,7,28,14,46,0,1,-84.57,10.09,12,4.5
1975,8,31,12,18,0,1,-82.3,7.2,10,5.3
1975,9,1,21,50,0,1,-83.14,8.68,14,5.6
1975,9,7,23,46,0,1,-82.71,8.25,36,5.3
1975,9,10,2,24,0,1,-85.58,10.97,31,5
1975,9,28,12,12,0,1,-82.77,8.69,75,4.5
1975,10,5,17,21,0,0.5,-84.333,9.266,20,4
1975,10,19,23,1,0,1,-82.85,7.71,10,4.8
1975,11,20,11,9,0,1,-84.59,9.32,34,4.1
1975,12,1,6,24,0,1,-85.19,10.43,15,4.2
1976,1,7,6,22,0,1,-83.79,9.41,46,4.6
1976,2,4,9,3,0,1,-85.46,10.71,36,6.1
1976,2,8,8,15,0,1,-85.26,10.24,15,5.4
1976,2,11,2,22,0,1,-84.29,10.08,5,4.6
1976,4,7,15,23,0,1,-83.99,9.54,88,4.2
1976,4,19,11,15,0,1,-84.11,9.5,54,5.7
1976,4,19,23,30,0,1,-84.23,11.19,15,4.5
1976,5,4,8,44,0,1,-85.54,10.85,36,4.7
1976,5,12,16,20,0,1,-85.42,10.44,15,5.9
1976,5,15,21,11,0,1,-85.58,9.74,8,4.2
1976,5,19,17,45,0,1,-85.2,10.91,14,5.6
1976,7,8,10,36,0,1,-86.27,10.71,3,4.8
1976,7,11,22,4,0,1,-83.96,9.92,29,4
1976,7,12,4,45,0,1,-84.46,10.34,111,4.6
1976,8,17,16,55,0,1,-85.55,10.28,24,4.2
1976,8,17,22,56,0,1,-83.08,8.37,56,5
1976,8,19,0,3,0,1,-85.4,10.36,15,5.4
1976,8,25,6,7,0,1,-84.85,9.64,27,4.2
1976,8,25,23,27,0,1,-84.23,9.34,35,3.7
1976,8,31,7,57,0,1,-86.44,11.5,48,4.5
1976,9,16,5,36,0,1,-82.83,7.76,10,4.9
1976,9,19,12,23,0,1,-82.27,7.31,3,5.3
1976,10,4,19,47,0,1,-83.11,7.52,33,4.9
1976,10,9,12,31,0,1,-85.76,10.84,85,5.8
1976,10,22,7,37,0,1,-85.58,11.34,1,4.1
1976,10,25,14,53,0,1,-86.01,11.19,81,4.1
1976,11,11,3,17,0,1,-84.22,9.9,5,3.6
1976,11,25,6,22,0,0.6,-84.957,9.188,20,1.7
1976,11,25,6,45,0,0,-84.719,9.701,75,1.7
1976,11,27,3,43,0,1,-85.62,10.67,53,4
1976,11,27,21,43,0,1,-85.98,11.34,27,3.9
1976,11,30,0,47,0,1,-86.12,11.36,5,4.3
1976,12,1,14,15,0,1,-84.84,9.42,15,5.8
1976,12,14,22,35,0,1,-84.07,10.65,100,4.2
1976,12,20,10,18,0,1,-84.14,9.18,25,6.1
1977,3,28,11,16,0,0,-84.533,10.276,26.8,1.7
1977,4,1,16,15,0,0,-84.451,9.516,3.4,4.5
1977,4,2,11,21,0,0,-84.465,9.669,1,2.8
1977,4,7,16,27,0,0,-84.464,9.576,20,3.4
1977,6,22,21,45,0,0.4,-84.473,9.982,64.8,2.7
1977,8,7,7,0,0,0,-85,9,15,5.4
1977,8,11,11,41,0,0,-84.005,9.791,57,3.8
1977,8,11,16,44,0,0,-84.068,9.634,61,3.9
1977,9,13,18,32,0,0.9,-84.607,9.591,1,3.9
1977,9,15,20,19,0,0.4,-84.241,8.824,20,3.5
1977,9,18,5,45,0,0.4,-85.742,10.723,20,5.1
1977,10,2,23,43,0,0,-84.487,9.627,30,4.4
1977,10,7,3,32,0,0.1,-84.165,9.268,34.7,2.5
1977,10,11,20,30,0,0,-84.063,9.846,5,3.2
1977,10,12,6,16,0,0.8,-84.596,9.569,12.2,4.3
1977,10,13,5,38,0,0.8,-84.655,9.505,5.5,3.9
1977,10,13,15,48,0,1,-85.139,9.776,17.3,4.4
1977,10,16,4,48,0,0.4,-84.427,9.433,13.9,2.5
1977,10,18,17,27,0,0.6,-84.802,9.689,22.1,3.8
1977,10,21,18,34,0,0,-84.066,9.9,20,3
1977,10,27,18,27,0,1,-84.291,10.256,77.2,2.5
1977,10,29,2,34,0,0.1,-84.042,9.445,20,3.5
1977,10,30,19,32,0,0.4,-83.343,8.522,30.7,3.8
1977,11,2,13,37,0,0.9,-84.955,9.247,20,3.3
1977,11,3,7,19,0,0.6,-84.08,9.534,5.9,3
1977,11,4,5,22,0,0.8,-83.965,9.026,2.8,3.2
1977,11,4,8,43,0,1,-83.145,7.73,2.3,4.8
1977,11,4,10,5,0,0,-84.295,9.779,3.1,4.2
1977,11,4,10,25,0,0,-82.875,7.729,18.3,4
1977,11,4,16,51,0,0.2,-83.964,9.473,22.4,3.8
1977,11,7,10,2,0,0.6,-83.918,9.113,3.4,2.9
1977,11,7,14,10,0,0.3,-84.052,10.237,21.9,3
1977,11,11,6,9,0,0.8,-85.016,9.582,13.6,3
1977,11,11,7,45,0,0.7,-84.956,9.528,20,3.2
1977,11,11,13,40,0,0.7,-84.491,9.885,40.9,4
1977,11,12,6,31,0,1,-84.975,9.451,12.7,3.5
1977,11,29,13,25,0,0.4,-85.033,9.386,65.9,3.5
1977,11,30,11,14,0,0.8,-83.753,9.314,2.1,2.7
1977,12,1,19,36,0,0.4,-83.897,9.35,57.1,3.5
1977,12,2,19,45,0,0.5,-84.707,9.483,12.8,2.4
1977,12,3,12,24,0,0,-84.814,8.988,20,5.3
1977,12,5,12,24,0,0.7,-83.089,8.545,20,4.2
1977,12,8,5,45,0,0.3,-84.133,9.824,7.1,3.5
1977,12,10,3,52,0,0.2,-84.423,9.628,1,2.9
1977,12,12,21,10,0,0.5,-84.116,9.728,4.8,3.7
1977,12,16,10,5,0,0.2,-84.062,9.763,1,2.8
1977,12,16,10,24,0,0,-84.045,9.682,5.7,3.5
1977,12,16,10,25,0,0,-84.007,9.799,20,3.5
1977,12,16,10,30,0,1,-83.949,9.689,20,3.4
1977,12,16,10,59,0,0.9,-83.918,9.763,20,3.5
1977,12,16,11,13,0,1,-83.946,9.675,20,3
1977,12,16,13,44,0,0.3,-83.966,9.784,6.1,3.3
1977,12,16,17,7,0,0,-84.004,9.817,4.9,3.9
1977,12,16,17,25,0,0.7,-83.92,9.781,13.8,2.7
1977,12,16,18,30,0,0.5,-83.898,9.821,18.7,3.5
1977,12,16,20,56,0,0.7,-83.913,9.758,20,2.8
1977,12,16,22,26,0,0.8,-83.906,9.762,20,3.4
1977,12,16,22,44,0,1,-83.953,9.741,20,3.3
1977,12,17,0,30,0,0,-83.955,9.776,16.9,4.8
1977,12,17,1,46,0,0.6,-83.87,9.83,20,3.7
1977,12,17,7,53,0,0.5,-83.894,9.789,20,3.9
1977,12,17,7,59,0,0.9,-83.903,9.72,20,3.2
1977,12,19,17,31,0,1,-83.939,9.717,20,3.3
1977,12,22,5,54,0,0.5,-84.068,9.765,5.4,2.8
1977,12,23,8,45,0,0.8,-83.967,9.731,20,3
1977,12,23,17,23,0,0.7,-84.278,10.458,20,4.2
1977,12,25,15,9,0,0.6,-84.126,9.18,20,2.7
1977,12,26,13,3,0,0.6,-84.038,9.747,6.3,3.3
1977,12,27,8,34,0,0.7,-82.561,7.16,1,4.3
1978,1,5,0,20,0,0,-84.139,9.307,21.5,4.4
1978,1,11,1,13,0,0.6,-84.211,9.37,20,2.7
1978,1,11,4,23,0,0.7,-84.063,9.613,52.6,3.3
1978,1,16,22,17,0,0.2,-84.205,8.858,21.7,3.5
1978,1,24,13,28,0,0.3,-83.183,10.499,19.8,3.7
1978,1,25,23,58,0,0.7,-83.964,9.757,11.7,3.3
1978,1,28,6,51,0,0.2,-83.693,9.357,4.5,3.3
1978,2,4,20,12,0,1,-83.9,10.632,25,3.5
1978,2,4,21,42,0,0.5,-84.417,10.055,1,3.8
1978,2,4,21,46,0,0.5,-83.621,11.174,20,3.7
1978,2,5,6,6,0,0.5,-84.109,9.595,25.6,4.2
1978,2,5,7,22,0,0.8,-84.254,9.628,73.3,2.7
1978,2,6,0,49,0,0.3,-83.581,11.128,20,3.8
1978,2,6,20,3,0,0.6,-84.136,9.199,1,3.9
1978,2,8,12,10,0,0.6,-85.643,9.686,8.8,4.4
1978,2,9,2,28,0,0.8,-84.174,9.594,18.2,2.5
1978,2,9,19,15,0,0.4,-83.966,9.734,12.4,2.8
1978,2,10,1,29,0,1,-84.305,9.456,56.8,3.4
1978,2,16,1,2,0,0.3,-83.975,9.373,47.8,3
1978,2,19,0,45,0,0.5,-85.01,9.709,20,3.2
1978,2,19,5,59,0,0.7,-84.657,9.233,14.1,3.3
1978,2,20,7,40,0,0.6,-83.694,9.575,3.9,3.8
1978,2,22,19,33,0,0,-84.501,10.194,29.5,4.2
1978,2,23,6,46,0,0.5,-84.082,8.821,1.5,3.8
1978,2,23,13,1,0,0.6,-84.02,8.829,2.6,3.9
1978,2,24,22,29,0,0.4,-83.945,9.424,57.5,3.2
1978,2,25,3,10,0,0.9,-84.039,9.568,16.8,3.4
1978,2,26,11,56,0,0.5,-85.034,9.896,30.4,3.2
1978,2,26,15,58,0,0.7,-84.089,8.844,1,3
1978,2,28,4,11,0,0.8,-84.778,9.109,13.2,3.7
1978,2,28,12,32,0,0.3,-84.391,9.358,35.1,3.7
1978,3,1,7,39,0,0.8,-85.353,9.503,19.2,4.9
1978,3,1,14,29,0,0.6,-85.732,10.382,20,4.5
1978,3,1,17,12,0,0.3,-84.497,9.488,3,3
1978,3,2,5,1,0,0.6,-84.495,9.564,38.2,3.4
1978,3,2,11,36,0,0.7,-84.354,9.997,6.2,3.9
1978,3,5,5,4,0,0,-84.012,9.957,20,4.5
1978,3,8,17,15,0,0,-83.431,9.428,20,4.7
1978,3,10,4,6,0,0.5,-84.179,8.816,3.6,3.3
1978,3,12,8,7,0,0.7,-84.093,9.368,24.8,3.9
1978,3,14,6,56,0,0.5,-84.287,9.623,46.6,3.2
1978,3,14,7,51,0,0.8,-85.199,10.672,57.2,4.4
1978,3,15,4,28,0,0.9,-84.934,9.565,12.9,3.9
1978,3,15,9,4,0,0.8,-84.018,9.396,69.7,2.9
1978,3,15,16,33,0,0.9,-84.151,9.355,20,2.7
1978,3,15,21,27,0,0.9,-84.796,9.634,13.1,3.2
1978,3,16,8,7,0,0.9,-84.187,9.299,2.3,3
1978,3,16,9,29,0,0.8,-84.748,9.301,13.1,3
1978,3,19,1,43,0,0.5,-84.304,10.09,20,4.2
1978,3,22,1,8,0,0.6,-85.089,9.34,16.6,3.5
1978,3,22,22,11,0,1,-85.031,9.529,12.9,3.2
1978,3,23,0,21,0,0.9,-84.423,9.27,5.1,3.5
